Gender,Quintile,Residence,Total_Quintile,Total_Gender,Total_Residence,Countries_and_areas
Male,Middle_Wealth_quintile,Urban_Residence,2,2,2,Algeria
Male,Middle_Wealth_quintile,Rural_Residence,2,2,2,Algeria
Female,Middle_Wealth_quintile,Urban_Residence,2,2,2,Algeria
Female,Middle_Wealth_quintile,Rural_Residence,2,2,2,Algeria
Male,Fourth_Wealth_quintile,Urban_Residence,2,2,2,Algeria
Male,Fourth_Wealth_quintile,Rural_Residence,2,2,2,Algeria
Female,Fourth_Wealth_quintile,Urban_Residence,2,2,2,Algeria
Female,Fourth_Wealth_quintile,Rural_Residence,2,2,2,Algeria
Male,Richest_Wealth_quintile,Urban_Residence,1,2,2,Algeria
Male,Richest_Wealth_quintile,Rural_Residence,1,2,2,Algeria
Female,Richest_Wealth_quintile,Urban_Residence,1,2,2,Algeria
Female,Richest_Wealth_quintile,Rural_Residence,1,2,2,Algeria
Male,Poorest_Wealth_quintile,Urban_Residence,39,21,14,Angola
Male,Poorest_Wealth_quintile,Rural_Residence,39,21,35,Angola
Female,Poorest_Wealth_quintile,Urban_Residence,39,22,14,Angola
Female,Poorest_Wealth_quintile,Rural_Residence,39,22,35,Angola
Male,Second_Wealth_quintile,Urban_Residence,33,21,14,Angola
Male,Second_Wealth_quintile,Rural_Residence,33,21,35,Angola
Female,Second_Wealth_quintile,Urban_Residence,33,22,14,Angola
Female,Second_Wealth_quintile,Rural_Residence,33,22,35,Angola
Male,Middle_Wealth_quintile,Urban_Residence,19,21,14,Angola
Male,Middle_Wealth_quintile,Rural_Residence,19,21,35,Angola
Female,Middle_Wealth_quintile,Urban_Residence,19,22,14,Angola
Female,Middle_Wealth_quintile,Rural_Residence,19,22,35,Angola
Male,Fourth_Wealth_quintile,Urban_Residence,12,21,14,Angola
Male,Fourth_Wealth_quintile,Rural_Residence,12,21,35,Angola
Female,Fourth_Wealth_quintile,Urban_Residence,12,22,14,Angola
Female,Fourth_Wealth_quintile,Rural_Residence,12,22,35,Angola
Male,Richest_Wealth_quintile,Urban_Residence,5,21,14,Angola
Male,Richest_Wealth_quintile,Rural_Residence,5,21,35,Angola
Female,Richest_Wealth_quintile,Urban_Residence,5,22,14,Angola
Female,Richest_Wealth_quintile,Rural_Residence,5,22,35,Angola
Male,Poorest_Wealth_quintile,Urban_Residence,1,2,0,Argentina
Male,Poorest_Wealth_quintile,Rural_Residence,1,2,0,Argentina
Female,Poorest_Wealth_quintile,Urban_Residence,1,1,0,Argentina
Female,Poorest_Wealth_quintile,Rural_Residence,1,1,0,Argentina
Male,Second_Wealth_quintile,Urban_Residence,0,2,0,Argentina
Male,Second_Wealth_quintile,Rural_Residence,0,2,0,Argentina
Female,Second_Wealth_quintile,Urban_Residence,0,1,0,Argentina
Female,Second_Wealth_quintile,Rural_Residence,0,1,0,Argentina
Male,Middle_Wealth_quintile,Urban_Residence,2,2,0,Argentina
Male,Middle_Wealth_quintile,Rural_Residence,2,2,0,Argentina
Female,Middle_Wealth_quintile,Urban_Residence,2,1,0,Argentina
Female,Middle_Wealth_quintile,Rural_Residence,2,1,0,Argentina
Male,Fourth_Wealth_quintile,Urban_Residence,2,2,0,Argentina
Male,Fourth_Wealth_quintile,Rural_Residence,2,2,0,Argentina
Female,Fourth_Wealth_quintile,Urban_Residence,2,1,0,Argentina
Female,Fourth_Wealth_quintile,Rural_Residence,2,1,0,Argentina
Male,Richest_Wealth_quintile,Urban_Residence,1,2,0,Argentina
Male,Richest_Wealth_quintile,Rural_Residence,1,2,0,Argentina
Female,Richest_Wealth_quintile,Urban_Residence,1,1,0,Argentina
Female,Richest_Wealth_quintile,Rural_Residence,1,1,0,Argentina
Male,Poorest_Wealth_quintile,Urban_Residence,6,5,3,Armenia
Male,Poorest_Wealth_quintile,Rural_Residence,6,5,6,Armenia
Female,Poorest_Wealth_quintile,Urban_Residence,6,4,3,Armenia
Female,Poorest_Wealth_quintile,Rural_Residence,6,4,6,Armenia
Male,Second_Wealth_quintile,Urban_Residence,7,5,3,Armenia
Male,Second_Wealth_quintile,Rural_Residence,7,5,6,Armenia
Female,Second_Wealth_quintile,Urban_Residence,7,4,3,Armenia
Female,Second_Wealth_quintile,Rural_Residence,7,4,6,Armenia
Male,Middle_Wealth_quintile,Urban_Residence,6,5,3,Armenia
Male,Middle_Wealth_quintile,Rural_Residence,6,5,6,Armenia
Female,Middle_Wealth_quintile,Urban_Residence,6,4,3,Armenia
Female,Middle_Wealth_quintile,Rural_Residence,6,4,6,Armenia
Male,Fourth_Wealth_quintile,Urban_Residence,3,5,3,Armenia
Male,Fourth_Wealth_quintile,Rural_Residence,3,5,6,Armenia
Female,Fourth_Wealth_quintile,Urban_Residence,3,4,3,Armenia
Female,Fourth_Wealth_quintile,Rural_Residence,3,4,6,Armenia
Male,Richest_Wealth_quintile,Urban_Residence,2,5,3,Armenia
Male,Richest_Wealth_quintile,Rural_Residence,2,5,6,Armenia
Female,Richest_Wealth_quintile,Urban_Residence,2,4,3,Armenia
Female,Richest_Wealth_quintile,Rural_Residence,2,4,6,Armenia
Male,Poorest_Wealth_quintile,Urban_Residence,9,8,6,Bangladesh
Male,Poorest_Wealth_quintile,Rural_Residence,9,8,6,Bangladesh
Female,Poorest_Wealth_quintile,Urban_Residence,9,5,6,Bangladesh
Female,Poorest_Wealth_quintile,Rural_Residence,9,5,6,Bangladesh
Male,Second_Wealth_quintile,Urban_Residence,7,8,6,Bangladesh
Male,Second_Wealth_quintile,Rural_Residence,7,8,6,Bangladesh
Female,Second_Wealth_quintile,Urban_Residence,7,5,6,Bangladesh
Female,Second_Wealth_quintile,Rural_Residence,7,5,6,Bangladesh
Male,Middle_Wealth_quintile,Urban_Residence,5,8,6,Bangladesh
Male,Middle_Wealth_quintile,Rural_Residence,5,8,6,Bangladesh
Female,Middle_Wealth_quintile,Urban_Residence,5,5,6,Bangladesh
Female,Middle_Wealth_quintile,Rural_Residence,5,5,6,Bangladesh
Male,Fourth_Wealth_quintile,Urban_Residence,6,8,6,Bangladesh
Male,Fourth_Wealth_quintile,Rural_Residence,6,8,6,Bangladesh
Female,Fourth_Wealth_quintile,Urban_Residence,6,5,6,Bangladesh
Female,Fourth_Wealth_quintile,Rural_Residence,6,5,6,Bangladesh
Male,Richest_Wealth_quintile,Urban_Residence,4,8,6,Bangladesh
Male,Richest_Wealth_quintile,Rural_Residence,4,8,6,Bangladesh
Female,Richest_Wealth_quintile,Urban_Residence,4,5,6,Bangladesh
Female,Richest_Wealth_quintile,Rural_Residence,4,5,6,Bangladesh
Male,Poorest_Wealth_quintile,Urban_Residence,1,0,0,Barbados
Male,Poorest_Wealth_quintile,Rural_Residence,1,0,1,Barbados
Female,Poorest_Wealth_quintile,Urban_Residence,1,1,0,Barbados
Female,Poorest_Wealth_quintile,Rural_Residence,1,1,1,Barbados
Male,Second_Wealth_quintile,Urban_Residence,0,0,0,Barbados
Male,Second_Wealth_quintile,Rural_Residence,0,0,1,Barbados
Female,Second_Wealth_quintile,Urban_Residence,0,1,0,Barbados
Female,Second_Wealth_quintile,Rural_Residence,0,1,1,Barbados
Male,Middle_Wealth_quintile,Urban_Residence,0,0,0,Barbados
Male,Middle_Wealth_quintile,Rural_Residence,0,0,1,Barbados
Female,Middle_Wealth_quintile,Urban_Residence,0,1,0,Barbados
Female,Middle_Wealth_quintile,Rural_Residence,0,1,1,Barbados
Male,Fourth_Wealth_quintile,Urban_Residence,2,0,0,Barbados
Male,Fourth_Wealth_quintile,Rural_Residence,2,0,1,Barbados
Female,Fourth_Wealth_quintile,Urban_Residence,2,1,0,Barbados
Female,Fourth_Wealth_quintile,Rural_Residence,2,1,1,Barbados
Male,Richest_Wealth_quintile,Urban_Residence,0,0,0,Barbados
Male,Richest_Wealth_quintile,Rural_Residence,0,0,1,Barbados
Female,Richest_Wealth_quintile,Urban_Residence,0,1,0,Barbados
Female,Richest_Wealth_quintile,Rural_Residence,0,1,1,Barbados
Male,Poorest_Wealth_quintile,Urban_Residence,0,1,0,Belarus
Male,Poorest_Wealth_quintile,Rural_Residence,0,1,0,Belarus
Female,Poorest_Wealth_quintile,Urban_Residence,0,0,0,Belarus
Female,Poorest_Wealth_quintile,Rural_Residence,0,0,0,Belarus
Male,Second_Wealth_quintile,Urban_Residence,0,1,0,Belarus
Male,Second_Wealth_quintile,Rural_Residence,0,1,0,Belarus
Female,Second_Wealth_quintile,Urban_Residence,0,0,0,Belarus
Female,Second_Wealth_quintile,Rural_Residence,0,0,0,Belarus
Male,Middle_Wealth_quintile,Urban_Residence,0,1,0,Belarus
Male,Middle_Wealth_quintile,Rural_Residence,0,1,0,Belarus
Female,Middle_Wealth_quintile,Urban_Residence,0,0,0,Belarus
Female,Middle_Wealth_quintile,Rural_Residence,0,0,0,Belarus
Male,Fourth_Wealth_quintile,Urban_Residence,1,1,0,Belarus
Male,Fourth_Wealth_quintile,Rural_Residence,1,1,0,Belarus
Female,Fourth_Wealth_quintile,Urban_Residence,1,0,0,Belarus
Female,Fourth_Wealth_quintile,Rural_Residence,1,0,0,Belarus
Male,Richest_Wealth_quintile,Urban_Residence,0,1,0,Belarus
Male,Richest_Wealth_quintile,Rural_Residence,0,1,0,Belarus
Female,Richest_Wealth_quintile,Urban_Residence,0,0,0,Belarus
Female,Richest_Wealth_quintile,Rural_Residence,0,0,0,Belarus
Male,Poorest_Wealth_quintile,Urban_Residence,4,2,1,Belize
Male,Poorest_Wealth_quintile,Rural_Residence,4,2,3,Belize
Female,Poorest_Wealth_quintile,Urban_Residence,4,2,1,Belize
Female,Poorest_Wealth_quintile,Rural_Residence,4,2,3,Belize
Male,Second_Wealth_quintile,Urban_Residence,4,2,1,Belize
Male,Second_Wealth_quintile,Rural_Residence,4,2,3,Belize
Female,Second_Wealth_quintile,Urban_Residence,4,2,1,Belize
Female,Second_Wealth_quintile,Rural_Residence,4,2,3,Belize
Male,Middle_Wealth_quintile,Urban_Residence,1,2,1,Belize
Male,Middle_Wealth_quintile,Rural_Residence,1,2,3,Belize
Female,Middle_Wealth_quintile,Urban_Residence,1,2,1,Belize
Female,Middle_Wealth_quintile,Rural_Residence,1,2,3,Belize
Male,Fourth_Wealth_quintile,Urban_Residence,1,2,1,Belize
Male,Fourth_Wealth_quintile,Rural_Residence,1,2,3,Belize
Female,Fourth_Wealth_quintile,Urban_Residence,1,2,1,Belize
Female,Fourth_Wealth_quintile,Rural_Residence,1,2,3,Belize
Male,Richest_Wealth_quintile,Urban_Residence,0,2,1,Belize
Male,Richest_Wealth_quintile,Rural_Residence,0,2,3,Belize
Female,Richest_Wealth_quintile,Urban_Residence,0,2,1,Belize
Female,Richest_Wealth_quintile,Rural_Residence,0,2,3,Belize
Male,Poorest_Wealth_quintile,Urban_Residence,59,28,21,Benin
Male,Poorest_Wealth_quintile,Rural_Residence,59,28,38,Benin
Female,Poorest_Wealth_quintile,Urban_Residence,59,35,21,Benin
Female,Poorest_Wealth_quintile,Rural_Residence,59,35,38,Benin
Male,Second_Wealth_quintile,Urban_Residence,39,28,21,Benin
Male,Second_Wealth_quintile,Rural_Residence,39,28,38,Benin
Female,Second_Wealth_quintile,Urban_Residence,39,35,21,Benin
Female,Second_Wealth_quintile,Rural_Residence,39,35,38,Benin
Male,Middle_Wealth_quintile,Urban_Residence,30,28,21,Benin
Male,Middle_Wealth_quintile,Rural_Residence,30,28,38,Benin
Female,Middle_Wealth_quintile,Urban_Residence,30,35,21,Benin
Female,Middle_Wealth_quintile,Rural_Residence,30,35,38,Benin
Male,Fourth_Wealth_quintile,Urban_Residence,15,28,21,Benin
Male,Fourth_Wealth_quintile,Rural_Residence,15,28,38,Benin
Female,Fourth_Wealth_quintile,Urban_Residence,15,35,21,Benin
Female,Fourth_Wealth_quintile,Rural_Residence,15,35,38,Benin
Male,Richest_Wealth_quintile,Urban_Residence,7,28,21,Benin
Male,Richest_Wealth_quintile,Rural_Residence,7,28,38,Benin
Female,Richest_Wealth_quintile,Urban_Residence,7,35,21,Benin
Female,Richest_Wealth_quintile,Rural_Residence,7,35,38,Benin
Male,Poorest_Wealth_quintile,Urban_Residence,15,9,3,Bhutan
Male,Poorest_Wealth_quintile,Rural_Residence,15,9,10,Bhutan
Female,Poorest_Wealth_quintile,Urban_Residence,15,7,3,Bhutan
Female,Poorest_Wealth_quintile,Rural_Residence,15,7,10,Bhutan
Male,Second_Wealth_quintile,Urban_Residence,11,9,3,Bhutan
Male,Second_Wealth_quintile,Rural_Residence,11,9,10,Bhutan
Female,Second_Wealth_quintile,Urban_Residence,11,7,3,Bhutan
Female,Second_Wealth_quintile,Rural_Residence,11,7,10,Bhutan
Male,Middle_Wealth_quintile,Urban_Residence,6,9,3,Bhutan
Male,Middle_Wealth_quintile,Rural_Residence,6,9,10,Bhutan
Female,Middle_Wealth_quintile,Urban_Residence,6,7,3,Bhutan
Female,Middle_Wealth_quintile,Rural_Residence,6,7,10,Bhutan
Male,Fourth_Wealth_quintile,Urban_Residence,4,9,3,Bhutan
Male,Fourth_Wealth_quintile,Rural_Residence,4,9,10,Bhutan
Female,Fourth_Wealth_quintile,Urban_Residence,4,7,3,Bhutan
Female,Fourth_Wealth_quintile,Rural_Residence,4,7,10,Bhutan
Male,Richest_Wealth_quintile,Urban_Residence,3,9,3,Bhutan
Male,Richest_Wealth_quintile,Rural_Residence,3,9,10,Bhutan
Female,Richest_Wealth_quintile,Urban_Residence,3,7,3,Bhutan
Female,Richest_Wealth_quintile,Rural_Residence,3,7,10,Bhutan
Male,Poorest_Wealth_quintile,Urban_Residence,7,2,3,Bosnia and Herzegovina
Male,Poorest_Wealth_quintile,Rural_Residence,7,2,3,Bosnia and Herzegovina
Female,Poorest_Wealth_quintile,Urban_Residence,7,4,3,Bosnia and Herzegovina
Female,Poorest_Wealth_quintile,Rural_Residence,7,4,3,Bosnia and Herzegovina
Male,Second_Wealth_quintile,Urban_Residence,1,2,3,Bosnia and Herzegovina
Male,Second_Wealth_quintile,Rural_Residence,1,2,3,Bosnia and Herzegovina
Female,Second_Wealth_quintile,Urban_Residence,1,4,3,Bosnia and Herzegovina
Female,Second_Wealth_quintile,Rural_Residence,1,4,3,Bosnia and Herzegovina
Male,Middle_Wealth_quintile,Urban_Residence,3,2,3,Bosnia and Herzegovina
Male,Middle_Wealth_quintile,Rural_Residence,3,2,3,Bosnia and Herzegovina
Female,Middle_Wealth_quintile,Urban_Residence,3,4,3,Bosnia and Herzegovina
Female,Middle_Wealth_quintile,Rural_Residence,3,4,3,Bosnia and Herzegovina
Male,Fourth_Wealth_quintile,Urban_Residence,1,2,3,Bosnia and Herzegovina
Male,Fourth_Wealth_quintile,Rural_Residence,1,2,3,Bosnia and Herzegovina
Female,Fourth_Wealth_quintile,Urban_Residence,1,4,3,Bosnia and Herzegovina
Female,Fourth_Wealth_quintile,Rural_Residence,1,4,3,Bosnia and Herzegovina
Male,Richest_Wealth_quintile,Urban_Residence,3,2,3,Bosnia and Herzegovina
Male,Richest_Wealth_quintile,Rural_Residence,3,2,3,Bosnia and Herzegovina
Female,Richest_Wealth_quintile,Urban_Residence,3,4,3,Bosnia and Herzegovina
Female,Richest_Wealth_quintile,Rural_Residence,3,4,3,Bosnia and Herzegovina
Male,Poorest_Wealth_quintile,Urban_Residence,1,1,0,Brazil
Male,Poorest_Wealth_quintile,Rural_Residence,1,1,1,Brazil
Female,Poorest_Wealth_quintile,Urban_Residence,1,0,0,Brazil
Female,Poorest_Wealth_quintile,Rural_Residence,1,0,1,Brazil
Male,Second_Wealth_quintile,Urban_Residence,1,1,0,Brazil
Male,Second_Wealth_quintile,Rural_Residence,1,1,1,Brazil
Female,Second_Wealth_quintile,Urban_Residence,1,0,0,Brazil
Female,Second_Wealth_quintile,Rural_Residence,1,0,1,Brazil
Male,Middle_Wealth_quintile,Urban_Residence,0,1,0,Brazil
Male,Middle_Wealth_quintile,Rural_Residence,0,1,1,Brazil
Female,Middle_Wealth_quintile,Urban_Residence,0,0,0,Brazil
Female,Middle_Wealth_quintile,Rural_Residence,0,0,1,Brazil
Male,Fourth_Wealth_quintile,Urban_Residence,0,1,0,Brazil
Male,Fourth_Wealth_quintile,Rural_Residence,0,1,1,Brazil
Female,Fourth_Wealth_quintile,Urban_Residence,0,0,0,Brazil
Female,Fourth_Wealth_quintile,Rural_Residence,0,0,1,Brazil
Male,Richest_Wealth_quintile,Urban_Residence,0,1,0,Brazil
Male,Richest_Wealth_quintile,Rural_Residence,0,1,1,Brazil
Female,Richest_Wealth_quintile,Urban_Residence,0,0,0,Brazil
Female,Richest_Wealth_quintile,Rural_Residence,0,0,1,Brazil
Male,Poorest_Wealth_quintile,Urban_Residence,69,46,17,Burkina Faso
Male,Poorest_Wealth_quintile,Rural_Residence,69,46,55,Burkina Faso
Female,Poorest_Wealth_quintile,Urban_Residence,69,50,17,Burkina Faso
Female,Poorest_Wealth_quintile,Rural_Residence,69,50,55,Burkina Faso
Male,Second_Wealth_quintile,Urban_Residence,58,46,17,Burkina Faso
Male,Second_Wealth_quintile,Rural_Residence,58,46,55,Burkina Faso
Female,Second_Wealth_quintile,Urban_Residence,58,50,17,Burkina Faso
Female,Second_Wealth_quintile,Rural_Residence,58,50,55,Burkina Faso
Male,Middle_Wealth_quintile,Urban_Residence,50,46,17,Burkina Faso
Male,Middle_Wealth_quintile,Rural_Residence,50,46,55,Burkina Faso
Female,Middle_Wealth_quintile,Urban_Residence,50,50,17,Burkina Faso
Female,Middle_Wealth_quintile,Rural_Residence,50,50,55,Burkina Faso
Male,Fourth_Wealth_quintile,Urban_Residence,40,46,17,Burkina Faso
Male,Fourth_Wealth_quintile,Rural_Residence,40,46,55,Burkina Faso
Female,Fourth_Wealth_quintile,Urban_Residence,40,50,17,Burkina Faso
Female,Fourth_Wealth_quintile,Rural_Residence,40,50,55,Burkina Faso
Male,Richest_Wealth_quintile,Urban_Residence,15,46,17,Burkina Faso
Male,Richest_Wealth_quintile,Rural_Residence,15,46,55,Burkina Faso
Female,Richest_Wealth_quintile,Urban_Residence,15,50,17,Burkina Faso
Female,Richest_Wealth_quintile,Rural_Residence,15,50,55,Burkina Faso
Male,Poorest_Wealth_quintile,Urban_Residence,36,18,6,Burundi
Male,Poorest_Wealth_quintile,Rural_Residence,36,18,19,Burundi
Female,Poorest_Wealth_quintile,Urban_Residence,36,18,6,Burundi
Female,Poorest_Wealth_quintile,Rural_Residence,36,18,19,Burundi
Male,Second_Wealth_quintile,Urban_Residence,21,18,6,Burundi
Male,Second_Wealth_quintile,Rural_Residence,21,18,19,Burundi
Female,Second_Wealth_quintile,Urban_Residence,21,18,6,Burundi
Female,Second_Wealth_quintile,Rural_Residence,21,18,19,Burundi
Male,Middle_Wealth_quintile,Urban_Residence,14,18,6,Burundi
Male,Middle_Wealth_quintile,Rural_Residence,14,18,19,Burundi
Female,Middle_Wealth_quintile,Urban_Residence,14,18,6,Burundi
Female,Middle_Wealth_quintile,Rural_Residence,14,18,19,Burundi
Male,Fourth_Wealth_quintile,Urban_Residence,11,18,6,Burundi
Male,Fourth_Wealth_quintile,Rural_Residence,11,18,19,Burundi
Female,Fourth_Wealth_quintile,Urban_Residence,11,18,6,Burundi
Female,Fourth_Wealth_quintile,Rural_Residence,11,18,19,Burundi
Male,Richest_Wealth_quintile,Urban_Residence,6,18,6,Burundi
Male,Richest_Wealth_quintile,Rural_Residence,6,18,19,Burundi
Female,Richest_Wealth_quintile,Urban_Residence,6,18,6,Burundi
Female,Richest_Wealth_quintile,Rural_Residence,6,18,19,Burundi
Male,Poorest_Wealth_quintile,Urban_Residence,13,7,3,Cambodia
Male,Poorest_Wealth_quintile,Rural_Residence,13,7,7,Cambodia
Female,Poorest_Wealth_quintile,Urban_Residence,13,5,3,Cambodia
Female,Poorest_Wealth_quintile,Rural_Residence,13,5,7,Cambodia
Male,Second_Wealth_quintile,Urban_Residence,8,7,3,Cambodia
Male,Second_Wealth_quintile,Rural_Residence,8,7,7,Cambodia
Female,Second_Wealth_quintile,Urban_Residence,8,5,3,Cambodia
Female,Second_Wealth_quintile,Rural_Residence,8,5,7,Cambodia
Male,Middle_Wealth_quintile,Urban_Residence,4,7,3,Cambodia
Male,Middle_Wealth_quintile,Rural_Residence,4,7,7,Cambodia
Female,Middle_Wealth_quintile,Urban_Residence,4,5,3,Cambodia
Female,Middle_Wealth_quintile,Rural_Residence,4,5,7,Cambodia
Male,Fourth_Wealth_quintile,Urban_Residence,3,7,3,Cambodia
Male,Fourth_Wealth_quintile,Rural_Residence,3,7,7,Cambodia
Female,Fourth_Wealth_quintile,Urban_Residence,3,5,3,Cambodia
Female,Fourth_Wealth_quintile,Rural_Residence,3,5,7,Cambodia
Male,Richest_Wealth_quintile,Urban_Residence,2,7,3,Cambodia
Male,Richest_Wealth_quintile,Rural_Residence,2,7,7,Cambodia
Female,Richest_Wealth_quintile,Urban_Residence,2,5,3,Cambodia
Female,Richest_Wealth_quintile,Rural_Residence,2,5,7,Cambodia
Male,Poorest_Wealth_quintile,Urban_Residence,37,14,6,Cameroon
Male,Poorest_Wealth_quintile,Rural_Residence,37,14,24,Cameroon
Female,Poorest_Wealth_quintile,Urban_Residence,37,17,6,Cameroon
Female,Poorest_Wealth_quintile,Rural_Residence,37,17,24,Cameroon
Male,Second_Wealth_quintile,Urban_Residence,18,14,6,Cameroon
Male,Second_Wealth_quintile,Rural_Residence,18,14,24,Cameroon
Female,Second_Wealth_quintile,Urban_Residence,18,17,6,Cameroon
Female,Second_Wealth_quintile,Rural_Residence,18,17,24,Cameroon
Male,Middle_Wealth_quintile,Urban_Residence,10,14,6,Cameroon
Male,Middle_Wealth_quintile,Rural_Residence,10,14,24,Cameroon
Female,Middle_Wealth_quintile,Urban_Residence,10,17,6,Cameroon
Female,Middle_Wealth_quintile,Rural_Residence,10,17,24,Cameroon
Male,Fourth_Wealth_quintile,Urban_Residence,4,14,6,Cameroon
Male,Fourth_Wealth_quintile,Rural_Residence,4,14,24,Cameroon
Female,Fourth_Wealth_quintile,Urban_Residence,4,17,6,Cameroon
Female,Fourth_Wealth_quintile,Rural_Residence,4,17,24,Cameroon
Male,Richest_Wealth_quintile,Urban_Residence,2,14,6,Cameroon
Male,Richest_Wealth_quintile,Rural_Residence,2,14,24,Cameroon
Female,Richest_Wealth_quintile,Urban_Residence,2,17,6,Cameroon
Female,Richest_Wealth_quintile,Rural_Residence,2,17,24,Cameroon
Male,Poorest_Wealth_quintile,Urban_Residence,42,21,13,Central African Republic
Male,Poorest_Wealth_quintile,Rural_Residence,42,21,33,Central African Republic
Female,Poorest_Wealth_quintile,Urban_Residence,42,31,13,Central African Republic
Female,Poorest_Wealth_quintile,Rural_Residence,42,31,33,Central African Republic
Male,Second_Wealth_quintile,Urban_Residence,36,21,13,Central African Republic
Male,Second_Wealth_quintile,Rural_Residence,36,21,33,Central African Republic
Female,Second_Wealth_quintile,Urban_Residence,36,31,13,Central African Republic
Female,Second_Wealth_quintile,Rural_Residence,36,31,33,Central African Republic
Male,Middle_Wealth_quintile,Urban_Residence,26,21,13,Central African Republic
Male,Middle_Wealth_quintile,Rural_Residence,26,21,33,Central African Republic
Female,Middle_Wealth_quintile,Urban_Residence,26,31,13,Central African Republic
Female,Middle_Wealth_quintile,Rural_Residence,26,31,33,Central African Republic
Male,Fourth_Wealth_quintile,Urban_Residence,17,21,13,Central African Republic
Male,Fourth_Wealth_quintile,Rural_Residence,17,21,33,Central African Republic
Female,Fourth_Wealth_quintile,Urban_Residence,17,31,13,Central African Republic
Female,Fourth_Wealth_quintile,Rural_Residence,17,31,33,Central African Republic
Male,Richest_Wealth_quintile,Urban_Residence,8,21,13,Central African Republic
Male,Richest_Wealth_quintile,Rural_Residence,8,21,33,Central African Republic
Female,Richest_Wealth_quintile,Urban_Residence,8,31,13,Central African Republic
Female,Richest_Wealth_quintile,Rural_Residence,8,31,33,Central African Republic
Male,Poorest_Wealth_quintile,Urban_Residence,55,47,28,Chad
Male,Poorest_Wealth_quintile,Rural_Residence,55,47,55,Chad
Female,Poorest_Wealth_quintile,Urban_Residence,55,53,28,Chad
Female,Poorest_Wealth_quintile,Rural_Residence,55,53,55,Chad
Male,Second_Wealth_quintile,Urban_Residence,53,47,28,Chad
Male,Second_Wealth_quintile,Rural_Residence,53,47,55,Chad
